"The name for this semi-precious stone comes from the Latin for ""sea water""";Aquamarine
Other than Germany, whose official language is German?;Austria
"What ONE word fits? ____stream; ____hill; _____pour.";Down
What is 'military governor' in Japanese?;Shogun
What is the meaning of the Mercedes Benz motto 'Das beste oder nichts'?;The best or nothing
"""Entre nous"" means __________.";Between ourselves
What is the Spanish word for 'festival'?;Fiesta
"The name Australia is derived from the Latin word ""australis"" which means _______.";Southern
What does the abbreviation N/A mean?;Not applicable
The Scots call it 'shinty' - what do Canadians and Americans call it?;Hockey
What is the official language of Austria?;German
"What three letter word means the same as ""to ingest""";Eat
"What ONE word fits ____stream; ____hill; _____pour.";Down
From what Irish words is 'Dublin' derived?;Dubh linn
"What word contains the combination of letters: ""xop""";Saxophone
"What does ""c'est la vie"" mean";That's life
What two words make the word 'meld'?;Melt and weld
Multiple Meanings:  Slamming your hands together quickly, or a venereal disease.;Clap
What does the Irish 'dubh linn' mean?;Black pool
What is the only English word formed by the first three letters of the alphabet?;Cab
What is the Israeli 'knesset'?;Parliament
This animal is found at the beginning of an (English) encyclopedia;Aardvark
What is the first letter in the Greek alphabet?;Alpha
Multiple Meanings:  Drinking utensils or sight-enhancers.;Glasses
What does 'A&W' (of root beer fame) stand for ?;Allen & Wright
What is the official language of Senegal?;French
What is 'blackpool' in Irish?;Dubh linn
Many Meanings: Fuel, vapor, flattulence, helium. What is it;Gas
From what language is the term 'finito'?;Italian
What does 'shogun' mean in English?;Military governor
What was the language of ancient India?;Sanskrit
What is the only English word formed by the first three letters of the alphabet;Cab
Mardi Gras is French for ___________.;Fat tuesday
"What ONE word fits? ____hood; ____hole; ____date.";Man
What does the Greek root word 'chrom' mean?;Color
Name the soda that is often confused with a drug.;Coke
What do the initials 'VCR' stand for?;Video Cassette Recorder
What is the last letter in the Greek alphabet?;Omega
What does the word 'karate' translate to in English?;Open hand
What is the Old English word for 'sneeze'?;Fneasan
What does 'AOL' stand for?;America Online
What is 'bountiful mother' in Latin?;Alma mater
What city's name is derived from the words 'dubh linn'?;Dublin
What does SOS stand for;Save Our Souls
"What does ""c'est la vie"" mean?";That's life
Which is the only english word that contains all the vowels in alphabetical order?;Facetious
"What three letter word means the same as ""to ingest""?";Eat
What does S.O.S. stand for?;Save Our Souls
From which language does the term 'Mayday' come?;French
Many Meanings:  Fuel, vapor, flattulence, helium.  What is it?;Gas
"Which word means ""profound boredom"" in both french and english?";Ennui
What is the English word for 'fiesta'?;Festival
The word rodent comes from the italian 'rodere', which means?;Gnaw
Subject, verb and object are parts of a _________.;Sentence
"What ONE word fits ____hood; ____hole; ____date.";Man
"The name for this semi_precious stone comes from the Latin for ""sea water""";Aquamarine
What is the language of Hungary?;Magyar
What does 'alma mater' mean in English?;Bountiful mother
"What word contains the combination of letters: ""xop""?";SaXOPhone
"How do you say ""I Love You"" in German?";Ich liebe Dich
What does 'majuba' mean?;Place of rock pigeons
"""faux pas"" means ___________.";Mistake
Merging the words 'melt' and 'weld' created which word?;Meld
What is the literal meaning of 'pince-nez'?;Pinch nose
What does N.A.S.A stand for?;National Aeronautics and Space Administration
Which two fruits are an anagram of each other?;Lemon and melon
An adjective meaning 'pertaining to the sun.';Solar
What does the acronym 'scuba' mean?;Self Contained Underwater Breathing Apparatus
